,areas,beds,baths,listing_date,prices,title_len,des_len,school,airport,city,association,view,ใหม่
110,174.0,3.0,3.0,2021-09-28,46980000,78,1152,0,0,0,0,0,0
111,54.0,3.0,2.0,2021-09-26,3550000,59,1164,0,0,0,1,0,0
112,150.0,4.0,3.0,2021-09-28,12800000,116,1843,0,0,1,1,0,0
113,26.0,5.0,2.0,2021-09-26,2000000,69,920,0,0,1,0,0,0
114,,4.0,5.0,2021-09-28,49800000,27,2383,1,0,0,1,0,0
115,100.0,3.0,4.0,2021-09-28,19500000,53,1448,1,0,0,0,0,0
116,,5.0,4.0,2021-09-28,8850000,32,1276,1,0,0,0,0,0
117,,5.0,6.0,2021-09-28,159000000,70,2622,0,0,0,1,0,0
118,,3.0,3.0,2021-09-25,5500000,58,1399,0,1,0,1,0,0
119,,3.0,3.0,2021-09-25,6690000,75,1351,0,1,0,1,1,0
120,,3.0,2.0,2021-09-25,4690000,60,1323,0,0,0,1,0,0
121,,5.0,6.0,2021-09-25,24000000,57,1383,0,0,0,1,0,0
122,,4.0,3.0,2021-09-26,5890000,54,1490,1,0,0,1,0,0
123,53.0,3.0,3.0,2021-09-27,4300000,69,1151,0,0,0,0,0,0
124,65.0,4.0,5.0,2021-09-26,4600000,69,1234,0,0,0,0,0,0
125,,3.0,3.0,2021-10-08,17000000,47,89,0,0,0,0,1,1
126,54.0,3.0,3.0,2021-10-08,4900000,89,61,0,0,0,0,0,0
127,,3.0,2.0,2021-09-26,4300000,95,1275,0,0,0,1,0,0
128,,4.0,3.0,2021-09-25,7990000,169,3224,1,0,0,1,1,0
129,79.0,3.0,4.0,2021-09-23,23900000,39,555,0,0,0,0,0,0
130,89.0,4.0,5.0,2021-09-26,20500000,98,733,0,0,0,1,0,1
131,54.0,3.0,3.0,2021-09-24,3890000,60,1298,0,0,1,1,0,0
132,,3.0,2.0,2021-09-23,2099000,150,1162,0,0,1,0,0,1
133,,4.0,3.0,2021-09-25,12900000,98,1234,1,0,1,1,0,0
134,58.0,3.0,5.0,2021-09-24,7800000,101,1326,0,0,0,1,0,0
135,41.0,3.0,2.0,2021-09-22,2490000,45,1340,1,1,1,0,0,0
136,341.0,5.0,7.0,2021-09-25,48000000,89,786,0,0,0,1,1,0
137,,2.0,2.0,2021-09-24,1950000,106,1065,0,0,1,0,0,1
138,,3.0,3.0,2021-09-24,2890000,68,837,0,0,0,0,0,0
139,100.0,2.0,2.0,2021-09-21,2890000,55,1537,1,1,0,1,0,0
140,,3.0,5.0,2021-09-22,30000000,124,1557,1,0,0,1,0,0
141,,3.0,3.0,2021-09-22,7900000,55,1189,0,0,1,1,0,0
142,,3.0,3.0,2021-09-21,2850000,61,1316,1,0,0,1,0,0
143,100.0,2.0,2.0,2021-10-07,1290000,82,53,0,0,1,0,0,1
144,64.0,3.0,3.0,2021-09-25,11800000,54,2010,1,1,1,1,0,0
145,,4.0,3.0,2021-09-22,5490000,76,1544,1,0,1,1,0,0
146,84.0,4.0,4.0,2021-10-13,7000000,105,192,0,0,0,0,0,0
147,,3.0,2.0,2021-09-22,4500000,81,1048,1,0,0,1,1,0
148,59.0,2.0,2.0,2021-09-24,2454490,118,981,0,0,1,0,0,1
149,158.0,2.0,2.0,2021-09-23,2900000,66,1072,1,0,0,1,0,0
150,,3.0,2.0,2021-09-23,3800000,58,1151,0,0,1,1,0,0
151,50.0,3.0,3.0,2021-09-21,3990000,33,626,0,0,0,0,0,0
152,57.0,2.0,1.0,2021-09-21,1950000,65,861,0,0,0,0,0,0
153,,3.0,3.0,2021-09-21,3590000,59,1436,0,0,1,1,0,0
154,,4.0,3.0,2021-09-24,5290000,97,1657,0,0,0,1,0,0
155,73.0,4.0,3.0,2021-09-23,10500000,78,761,0,0,1,0,0,0
156,92.0,4.0,3.0,2021-09-23,8500000,57,1064,0,0,1,1,0,0
157,56.0,2.0,2.0,2021-09-23,3500000,57,638,1,0,1,1,0,0
158,45.0,4.0,2.0,2021-09-17,4000000,57,830,1,0,1,1,0,0
159,77.0,4.0,4.0,2021-09-17,6590000,196,1975,0,0,0,1,0,1
160,,4.0,3.0,2021-09-22,11500000,73,1678,0,0,1,1,0,0
161,,4.0,4.0,2021-09-22,9900000,43,947,0,0,1,1,0,0
162,74.0,9.0,7.0,2021-09-16,3100000,62,1026,0,0,1,1,0,0
163,36.0,3.0,3.0,2021-09-21,3500000,51,998,0,0,0,1,0,0
164,58.0,3.0,3.0,2021-09-21,5800000,74,1188,0,1,0,1,0,0
165,,4.0,3.0,2021-09-21,2790000,81,817,0,0,0,1,0,0
166,,3.0,3.0,2021-09-16,3900000,74,826,0,1,1,1,0,1
167,,3.0,3.0,2021-09-15,3700000,64,1400,1,0,1,1,0,0
168,,2.0,2.0,2021-09-28,2500000,65,1143,1,0,0,1,0,0
169,63.0,2.0,2.0,2021-09-20,4280000,60,994,0,0,1,1,0,0
170,,6.0,6.0,2021-09-18,9500000,56,1187,0,1,0,1,1,0
171,65.0,3.0,2.0,2021-10-06,1790000,45,185,0,0,0,0,0,1
172,61.0,3.0,3.0,2021-09-11,5900000,75,906,1,0,0,1,1,0
173,,5.0,3.0,2021-09-12,7900000,67,888,0,0,0,0,1,0
174,55.0,3.0,2.0,2021-09-14,5450000,157,611,0,0,0,0,0,0
175,108.0,4.0,5.0,2021-09-14,32000000,45,666,0,0,0,1,0,0
176,,4.0,3.0,2021-09-14,7100000,155,898,0,0,0,1,0,0
177,,3.0,2.0,2021-10-04,5990000,53,830,0,0,1,1,0,0
178,,3.0,3.0,2021-09-14,17500000,102,1270,0,0,0,1,0,0
179,51.0,3.0,3.0,2021-09-14,8700000,132,997,0,0,0,0,0,0
180,80.0,3.0,4.0,2021-09-14,14200000,226,1393,0,0,0,1,1,0
181,,3.0,3.0,2021-09-14,5589998,102,1155,0,0,0,1,0,0
182,,,,2021-09-14,7700000,72,1915,0,0,0,1,0,0
183,102.0,5.0,2.0,2021-09-15,3000000,58,810,0,0,0,0,0,0
184,120.0,3.0,3.0,2021-09-16,7990000,98,394,0,0,1,0,1,1
185,,3.0,2.0,2021-09-14,4590000,82,1697,1,1,1,1,0,0
186,50.0,3.0,2.0,2021-09-14,3790000,84,1506,1,0,0,1,0,0
187,119.0,2.0,1.0,2021-09-12,2500000,47,491,0,0,0,0,0,0
188,68.0,3.0,3.0,2021-09-26,5600000,58,744,0,0,0,0,0,0
189,60.0,3.0,3.0,2021-09-12,5290000,81,1056,0,0,1,1,0,0
190,72.0,5.0,5.0,2021-09-18,11800000,41,513,0,0,1,0,0,0
191,80.0,2.0,2.0,2021-09-15,5990000,77,394,0,0,1,0,1,1
192,50.0,3.0,2.0,2021-09-12,2399000,105,1859,0,0,0,1,0,0
193,62.0,4.0,3.0,2021-09-11,9190000,96,1553,0,0,0,1,0,0
194,188.0,3.0,3.0,2021-09-21,11190000,70,985,0,1,1,1,0,1
195,60.0,3.0,3.0,2021-09-15,5690000,78,1308,0,0,1,1,0,0
196,,4.0,3.0,2021-09-15,8500000,55,1443,0,0,0,1,0,0
197,52.0,3.0,2.0,2021-09-15,4650000,53,1340,0,1,0,1,0,0
